Tn,Tavg,RH_avg,ss,ff_avg
24.00,27.10,81.00,2.60,1.00
24.00,26.40,76.00,3.88,2.00
23.00,26.60,75.00,0.00,1.00
24.00,27.30,82.00,5.00,2.00
23.00,26.20,86.00,0.00,2.00
25.00,26.60,80.00,0.00,2.00
25.00,27.90,73.00,0.20,1.00
25.00,28.40,68.00,4.60,2.00
25.00,27.90,78.00,3.60,2.00
24.00,26.90,82.00,0.00,1.00
25.00,28.10,80.00,5.20,1.00
25.00,27.70,82.00,0.00,2.00
24.00,27.10,78.00,2.20,1.00
24.00,25.60,78.00,0.00,2.00
24.00,27.80,81.00,4.30,1.00
25.00,27.70,78.00,3.00,2.00
24.00,28.40,88.00,3.00,2.00
25.00,28.40,81.00,2.40,2.00
24.88,28.00,80.00,3.20,2.00
25.00,27.00,83.00,1.70,2.00
25.00,28.50,74.00,2.50,1.00
25.00,28.10,81.00,4.00,1.00
25.00,27.90,78.00,4.20,1.00
25.00,28.50,77.00,4.00,2.00
24.00,27.50,80.00,0.20,2.00
25.00,26.20,88.00,0.20,2.00
24.00,25.30,91.00,0.00,1.00
24.00,24.60,94.00,0.00,1.00
25.00,27.40,84.00,5.20,0.00
24.00,28.10,70.00,5.20,2.00
25.00,28.40,79.00,5.40,2.00
24.00,27.10,81.00,2.60,1.00
24.00,26.40,76.00,3.88,2.00
23.00,26.60,75.00,0.00,1.00
24.00,27.30,82.00,5.00,2.00
23.00,26.20,86.00,0.00,2.00
25.00,26.60,80.00,0.00,2.00
25.00,27.90,73.00,0.20,1.00
25.00,28.40,68.00,4.60,2.00
25.00,27.90,78.00,3.60,2.00
24.00,26.90,82.00,0.00,1.00
25.00,28.10,76.00,5.20,1.00
25.00,27.70,82.00,0.00,2.00
24.00,27.10,78.00,2.20,1.00
24.00,25.60,78.00,0.00,2.00
24.00,27.80,81.00,4.30,1.00
25.00,27.70,78.00,3.00,2.00
24.00,28.40,88.00,3.00,2.00
25.00,28.40,81.00,2.40,2.00
24.88,28.00,80.00,3.20,2.00
25.00,27.00,83.00,1.70,2.00
25.00,28.50,74.00,2.50,1.00
25.00,28.10,81.00,4.00,1.00
25.00,27.90,78.00,4.20,1.00
25.00,28.30,70.00,6.00,1.00
25.00,28.00,75.00,3.30,2.00
25.00,29.00,69.00,5.60,2.00
26.00,28.60,74.00,7.00,2.00
26.00,28.50,74.00,1.80,0.00
24.00,29.50,74.00,4.30,1.00
24.00,27.90,80.00,2.60,1.00
24.00,27.00,81.00,4.00,1.00
24.00,27.30,80.00,4.40,2.00
26.00,28.60,74.00,5.00,2.00
