Tn,Tavg,RH_avg,ss,ff_avg
27.20,29.80,73.00,4.00,0.00
26.60,29.30,74.00,5.00,1.00
26.00,29.90,73.00,6.50,1.00
27.00,30.20,72.00,5.70,1.00
27.80,29.50,75.00,6.20,1.00
27.20,29.60,74.00,4.00,1.00
26.00,27.80,82.00,4.40,0.00
26.00,29.80,72.00,0.00,1.00
27.00,29.90,75.00,4.00,1.00
26.08,29.20,73.00,3.50,1.00
27.40,29.50,75.00,5.20,1.00
26.60,29.10,73.00,4.00,1.00
26.20,30.10,72.00,5.60,1.00
26.80,30.10,74.00,3.40,1.00
26.00,29.70,75.00,2.50,0.00
27.00,29.50,74.00,2.40,1.00
25.40,26.20,94.00,2.00,0.00
24.60,27.90,81.00,0.00,1.00
25.40,28.70,80.00,1.50,1.00
26.20,27.40,88.00,2.30,1.00
25.20,28.60,78.00,0.20,1.00
25.80,29.50,77.00,3.30,1.00
26.08,29.20,78.00,3.90,1.00
26.40,29.40,77.00,3.70,2.00
26.80,28.60,79.00,3.60,1.00
26.00,28.70,81.00,4.20,1.00
25.20,28.50,75.00,2.60,1.00
26.60,28.80,76.00,3.70,1.00
26.00,29.10,68.00,4.00,1.00
25.20,28.70,77.00,4.20,1.00
26.08,29.10,76.00,3.50,2.00
25.00,29.20,78.00,4.80,1.00
27.60,29.30,75.00,2.70,1.00
26.80,29.10,74.00,4.63,1.00
24.60,28.70,74.00,3.50,0.00
26.40,29.30,73.00,5.50,1.00
26.40,27.80,82.00,6.00,0.00
26.08,28.20,78.00,1.50,0.00
25.40,28.10,80.00,1.20,1.00
25.40,28.50,76.00,2.40,2.00
26.20,29.30,73.00,4.50,1.00
26.40,29.10,72.00,3.40,1.00
26.00,29.10,76.00,6.60,1.00
26.80,28.90,72.00,6.30,1.00
26.40,29.00,72.00,4.50,1.00
26.00,28.90,73.00,4.00,2.00
25.60,28.90,74.00,5.00,1.00
26.60,29.30,68.00,5.60,1.00
25.80,28.80,67.00,5.00,1.00
25.60,29.50,59.00,6.60,1.00
25.20,27.90,61.00,6.80,1.00
25.40,28.80,67.00,6.60,1.00
26.20,29.10,70.00,4.00,1.00
26.00,29.00,68.00,6.00,1.00
26.08,28.80,76.00,6.80,1.00
26.00,28.00,78.00,2.70,0.00
26.00,28.00,74.00,3.30,1.00
26.40,29.00,72.00,1.50,1.00
25.00,28.90,68.00,1.00,1.00
26.00,28.60,67.00,6.30,2.00
25.60,28.50,66.00,6.00,2.00
26.08,28.20,65.00,4.80,1.00
24.00,28.70,68.00,6.00,2.00
26.00,29.40,72.00,7.00,2.00
26.80,29.40,75.00,0.70,1.00
26.08,29.60,74.00,3.50,1.00
26.60,29.40,71.00,6.50,1.00
26.40,28.80,73.00,6.80,2.00
26.20,28.80,76.00,7.00,1.00
26.40,29.00,77.00,5.20,2.00
26.00,28.70,75.00,7.00,0.00
25.80,28.30,76.00,7.20,1.00
26.40,28.60,74.00,6.70,2.00
25.80,28.80,66.00,5.00,1.00
25.60,28.20,70.00,7.00,1.00
25.80,28.40,72.00,6.70,2.00
26.00,28.40,74.00,7.00,1.00
26.40,28.80,72.00,7.00,1.00
25.00,28.20,70.00,5.50,1.00
25.80,28.20,71.00,7.20,2.00
26.20,28.90,71.00,6.80,2.00
26.40,29.40,72.00,7.00,1.00
25.00,29.20,68.00,6.80,1.00
26.00,28.80,70.00,4.50,2.00
26.20,29.00,68.00,4.50,2.00
26.00,29.20,70.00,5.50,1.00
26.00,28.80,74.00,7.20,1.00
27.00,29.10,74.00,7.40,1.00
27.40,29.00,76.00,4.50,1.00
25.60,28.70,71.00,5.00,1.00
25.00,28.70,71.00,5.00,0.00
26.00,28.50,72.00,7.50,2.00
25.20,28.20,73.00,7.50,1.00
25.40,28.00,72.00,7.00,1.00
25.00,28.50,71.00,7.40,1.00
26.60,28.90,68.00,4.70,1.00
24.20,28.30,62.00,5.50,1.00
24.60,28.40,63.00,7.50,0.00
25.20,28.70,65.00,8.00,0.00
26.00,28.70,70.00,9.20,1.00
26.60,29.00,74.00,9.30,1.00
26.60,29.30,72.00,8.00,1.00
26.20,28.40,66.00,8.00,1.00
26.60,29.10,66.00,6.70,1.00
26.20,29.60,65.00,6.00,1.00
26.60,29.50,67.00,8.00,0.00
25.00,29.20,64.00,7.00,1.00
26.00,29.50,65.00,8.20,1.00
26.40,29.30,68.00,9.00,1.00
26.60,29.10,70.00,8.00,1.00
26.80,29.00,73.00,7.40,1.00
27.40,29.70,72.00,8.20,0.00
26.60,28.90,73.00,3.00,0.00
26.08,29.30,70.00,8.00,1.00
