Tx
30.00
28.20
29.00
29.20
29.80
29.20
30.60
29.60
29.80
29.40
29.60
30.00
32.60
33.40
33.80
32.00
32.60
34.40
32.00
32.40
32.60
32.00
34.80
32.40
29.40
31.60
30.80
32.40
31.80
33.40
32.20
34.00
30.20
30.40
29.60
28.80
29.20
30.20
29.20
30.20
29.50
31.20
30.20
33.60
33.40
30.20
32.20
31.80
31.80
29.40
28.60
30.80
30.80
31.00
31.20
29.80
30.40
30.20
32.60
31.60
30.80
30.40
29.80
29.40
29.60
30.00
31.60
29.80
27.00
31.80
29.60
29.60
33.00
31.20
29.20
31.60
32.40
33.60
30.80
32.20
31.80
28.40
31.20
32.40
32.60
32.00
32.40
33.60
32.60
33.80
32.00
33.80
30.60
32.40
29.60
32.60
31.80
33.20
31.00
33.00
32.60
32.60
33.20
34.80
32.40
33.20
32.80
33.00
33.80
34.80
33.60
33.40
32.00
33.40
33.40
33.40
34.40
34.20
33.60
33.80
34.00
34.20
32.20
33.20
33.00
32.80
32.60
33.00
31.00
34.40
33.40
34.20
33.40
33.20
33.20
32.80
34.20
34.00
32.80
34.60
33.80
33.20
32.40
33.60
33.60
32.00
33.20
33.00
33.80
33.20
33.60
33.40
33.20
33.80
33.40
32.60
32.60
32.80
32.40
33.40
34.40
33.80
32.80
33.60
31.60
33.80
33.60
34.00
32.40
33.40
33.80
34.40
33.20
33.40
32.20
32.00
32.00
31.20
33.20
33.00
33.60
33.20
32.00
32.00
31.80
32.20
33.60
33.00
33.20
32.00
32.40
32.20
33.00
33.40
30.20
31.80
32.00
33.20
33.00
33.20
32.00
32.60
32.60
32.60
32.80
33.40
33.20
34.60
32.40
33.60
32.80
33.60
32.00
30.80
30.80
32.60
33.20
32.80
33.20
33.00
33.20
32.40
33.60
34.20
33.00
33.40
32.60
34.00
33.40
33.20
31.50
33.60
32.40
32.80
32.20
33.60
32.40
32.40
33.00
34.80
33.40
32.20
32.60
33.60
33.00
32.20
32.20
33.60
33.20
32.20
32.20
32.60
31.60
32.60
33.40
33.60
33.40
32.60
33.20
33.00
31.80
33.00
34.40
33.00
33.60
34.20
33.40
33.00
32.40
32.60
32.80
33.40
32.60
32.60
32.20
34.20
34.00
35.00
35.20
36.80
33.00
32.80
33.00
34.20
33.00
34.00
32.40
33.60
33.40
34.60
34.80
33.80
35.20
35.00
33.60
36.00
35.00
36.60
33.40
34.80
33.00
34.60
33.80
32.71
33.00
33.00
33.60
33.80
33.60
34.00
33.80
33.60
33.20
33.40
33.40
32.60
32.60
33.40
33.40
33.60
32.71
33.40
33.20
34.00
35.60
34.40
33.40
34.20
33.40
33.40
33.40
34.20
33.60
33.60
32.20
32.80
29.60
32.80
32.20
33.00
34.20
32.60
30.40
33.60
32.20
29.00
32.40
33.40
33.40
32.60
32.40
32.00
33.00
33.20
33.00
33.80
33.40
33.60
34.80
34.20
34.40
35.60
34.60
33.20
33.80
33.60
32.20
31.00
33.20
33.20
33.00
32.60
32.20
32.20
31.80
30.20
31.40
32.40
32.20
33.20
31.60
33.80
32.80
32.80
33.40
32.40
32.40
31.40
34.60
32.00
32.60
28.40
35.40
32.80
35.00
34.60
33.60
33.00
32.40
28.40
30.60
29.80
32.80
31.40
31.60
